epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.373862954118522,2.0220745843510297,52.325581395348834,82.55813953488372
1,1.9337979011470452,1.1590883787288222,84.88372093023256,96.51162790697674
2,1.7061359441431705,0.7745431332394134,90.69767441860465,100.0
3,1.6195829915232025,0.6783203361339347,89.53488372093024,100.0
4,1.5308766508533154,0.5493139784003414,95.34883720930233,100.0
5,1.4990415951469913,0.4159493186446123,100.0,100.0
6,1.4419607616146095,0.370207489229912,97.67441860465117,100.0
7,1.4314325327286497,0.2850329879411431,100.0,100.0
8,1.3757366786303464,0.29265117038821065,100.0,100.0
9,1.3597791407082696,0.2449510055919026,100.0,100.0
10,1.3481543648522347,0.21372052966508753,100.0,100.0
11,1.3319064495153725,0.19164283235752305,100.0,100.0
12,1.3114594074140768,0.20740888943505842,100.0,100.0
13,1.2821780636732,0.20233388522336648,100.0,100.0
14,1.2784590709779877,0.1882238509350045,100.0,100.0
15,1.2565773609967437,0.17034904719438665,100.0,100.0
16,1.257448865508195,0.14120645379257757,100.0,100.0
17,1.2274559727520682,0.16252034044889516,100.0,100.0
18,1.218259237735765,0.15175626444262127,100.0,100.0
19,1.2153955591493286,0.15022381481736205,100.0,100.0
20,1.2059978597972076,0.13305588889607164,100.0,100.0
21,1.182759764342336,0.1495274263758992,100.0,100.0
22,1.207899998407811,0.13680698072841002,100.0,100.0
23,1.186204131838167,0.12001031706499499,100.0,100.0
24,1.1928273360535968,0.12742671855660373,100.0,100.0
25,1.1590270066226367,0.12231846829486448,100.0,100.0
26,1.1745520259428304,0.12916932705529902,100.0,100.0
27,1.157841941836523,0.11237377387493155,100.0,100.0
28,1.1384992541279644,0.11982271872287573,100.0,100.0
29,1.133207546576159,0.1187349601193916,100.0,100.0
30,1.1333158320048824,0.10280761971723201,100.0,100.0
31,1.1343437052855734,0.1139763432533242,100.0,100.0
32,1.118370528361993,0.1155733225304027,100.0,100.0
33,1.1187497042410541,0.11659416642992995,100.0,100.0
34,1.1086343161587138,0.11502375245787376,100.0,100.0
35,1.1086111851618625,0.09850789121417113,100.0,100.0
